id,user_description,user_location,text,id_str,created,retweet_count,city,date,text_eng,neg,neu,pos,compound,sentiment
995,Leefbaar Rotterdam is de enige partij die er alleen is voor Rotterdam en de Rotterdammers.,rotterdam,"jammer dat we geen antwoord krijgen op onze vraag: waar komt jullie '*geen corona' vandaan? en steeg het aantal overvallen onder leefbaar? tussen 2014 en 2018 zien wij een daling, van 165 naar 153. staat gewoon in de tabel. dus nogmaals, stop met nepnieuws verspreiden!",1382672084841730051,2021-04-15 12:28:08,2,Rotterdam,2021-04-15,"pity that we do not get an answer to our question: where does your '* no corona' come from? and the number of robberies rose among livable? between 2014 and 2018 we see a decrease, from 165 to 153. is simply stated in the table. so again, stop spreading fake news!",0.187,0.79,0.023,-0.853,negative
999,Chemisch ingenieur | Leraar wiskunde | Projectleider curriculumontwerp Master of Excellent Teaching (MET-vo) bij Academica | Schrijft soms voor https://t.co/E24vVz2x8a.,rotterdam,tegen covid.😂 hebben wij een spraakverwarring?,1382671974321774593,2021-04-15 12:27:42,0,Rotterdam,2021-04-15,against covid.😂 do we have a confusion of tongues?,0.239,0.761,0.0,-0.296,negative
1002,Journalist | De Telegraaf | Luchtvaart transport en bouw | Registeraccountant | Royalty | Dutch aviation journalist | CPA | Moderator | https://t.co/IYq3wSvVCm.jong@telegraaf.nl,amsterdam,klm vliegt door op zuid-amerika ondanks verlengd vliegverbod #covid19 #corona via,1382671887193505796,2021-04-15 12:27:21,1,Amsterdam,2021-04-15,klm continues to fly to south america despite extended flight ban # covid19 #corona via,0.0,0.816,0.184,0.4449,positive
1008,Oer-Amsterdammer | Dient stad en samenleving | Strijdt tegen paarse krokodillen en spreadsheet-fundamentalisme | Tweet op persoonlijke titel | Sociaaldemocraat,amsterdam,over hoe bolsanaro genocide pleegt in brazilië en de hele wereld in gevaar brengt.,1382671696566571009,2021-04-15 12:26:35,0,Amsterdam,2021-04-15,about how Bolsanaro commits genocide in Brazil and endangers the whole world.,0.0,0.909,0.091,0.0258,neutral
1012,Mergers and Acquisitions | Business Valuation | Debt Advisory | Valuemanagement | Corporate Finance,"amsterdam, eindhoven, venlo",aeternus in nieuwsblad transport: corona stilt koophonger in logistiek niet. de koophonger in het wegtransport en de logistiek in nederland heeft vorig jaar niet geleden onder de coronacrisis en de onzekere economische tijden. lees hier het artikel:,1382671566304129025,2021-04-15 12:26:04,2,Amsterdam,2021-04-15,aeternus in newspaper transport: corona does not satisfy hunger for shopping in logistics. the urge to buy in road transport and logistics in the netherlands did not suffer from the corona crisis and the uncertain economic times last year. read the article here:,0.171,0.74,0.089,-0.6358,negative
1015,Voorzitter stadsdeel Amsterdam-Zuid | D66 | stad&stedelijkheid l stadsgeograaf | cricket | middenhuur | kunst&cultuur | expats | Jane Jacobs,amsterdam,sneak (corona proof) preview van de tentoonstelling over burgemeester tellegen en zijn rol in de volkshuisvesting van de stad en de amsterdamse school. morgen digitale opening ⁦ ⁦,1382671379733053442,2021-04-15 12:25:20,1,Amsterdam,2021-04-15,sneak (corona proof) preview of the exhibition about mayor tellegen and his role in the public housing of the city and the amsterdam school. digital opening tomorrow,0.0,1.0,0.0,0.0,neutral
1016,"Sigarenroker, vastgoedondernemer, mccarthyist en hagaïstisch complottheoreticus. 's Morgens voor de koffie niet zeuren.","rotterdam, nederland","van dissel is heel fout bezig, maar hij is de enige die eerlijk antwoord geeft. #testsamenleving #vandissel #corona",1382671360850341889,2021-04-15 12:25:15,1,Rotterdam,2021-04-15,"van adze is doing very wrong, but he is the only one who gives an honest answer. #test society #vandissel #corona",0.086,0.741,0.174,0.5029,positive
1023,"Stichting, Participatie, Trainingen & Voorlichtingen, Projecten Tussen in, We All & Hulp aan Huis, Meidencentrum en met dank aan veel vrijwilligers",utrecht,de ramadan is begonnen. ben je benieuwd of je je als moslim overdag mag laten vaccineren tijdens de ramadan? bekijk deze video! #corona #coronavirus #covid19 #coronavaccinatie #vaccin #ramadan,1382671207611441160,2021-04-15 12:24:39,0,Utrecht,2021-04-15,"Ramadan has begun. are you curious if you, as a Muslim, can get vaccinated during Ramadan during the day? watch this video! #corona #coronavirus # covid19 #corona vaccination #vaccine #ramadan",0.0,0.912,0.088,0.3802,positive
1040,Wetenschapsnerd | adv. wetenschapscommunicatie bij FNWI/Faculty of Science van @UvA_Amsterdam | bestuurslid van @VWN | bioloog | trotse volkstuinbezitter | 😸😸,amsterdam,"ik zou iig nu niets kopen. als post-corona de economie in elkaar klapt, waar tekenen voor zijn, klapt de huizenmarkt waarschijnlijk ook.",1382670431459610632,2021-04-15 12:21:34,0,Amsterdam,2021-04-15,"I wouldn't buy anything now. if the economy collapses post-corona, which is showing signs, the housing market is likely to collapse as well.",0.204,0.717,0.079,-0.5106,negative
1043,"Gepassioneerd krantenman (werkte achtereenvolgens voor Westerpers, Dagbladunie, 

Sijthoff Pers en Wegener).","leiden, den haag, teylingen","reguliere zorg nog verder afgeschaald door corona, meldt nrc.",1382670375956406272,2021-04-15 12:21:21,0,Den Haag,2021-04-15,"regular care is scaled down even further by corona, reports nrc.",0.0,0.758,0.242,0.4939,positive
1048,Adviseur Public Affairs Patiëntenfederatie Nederland,"utrecht, nederland","d66 vraagt of mensen jonger dan 60 jaar zo snel mogelijk ruimte kunnen krijgen om, op basis van goede informatie, samen met arts te kiezen voor astrazeneca en janssen #corona #coronadebat",1382670125921353729,2021-04-15 12:20:21,8,Utrecht,2021-04-15,"d66 asks whether people under the age of 60 can be given space as soon as possible to choose astrazeneca and janssen #corona #coronadebat, based on good information, together with the doctor",0.0,0.914,0.086,0.4404,positive
1062,"'Een 🦄 in recensentenland' voor @OOR. Auteur 'Hoe Leonie ontplofte.' Persoonlijk begeleider bij @MiddinOnline. 'Windt nergens doekjes om, maar zit vol liefde.'","den haag, nederland","""ja ik heb een melding van de coronamelder-app, maar ik was echt maar 2 minuten bij die persoon in de buurt en mijn opa had ook corona en heeft niets gemerkt dus ik laat me niet testen en kom gewoon naar werk.""",1382669759129456643,2021-04-15 12:18:53,0,Den Haag,2021-04-15,"""yes i have a report from the corona detector app, but i was really only around 2 minutes with that person and my grandfather also had corona and didn't notice anything so i don't get tested and just come to work.""",0.0,0.95,0.05,0.2144,positive
1070,"Amsterdam, Jacht, Ajax, Golf, JA21 voor realistische rechtse mensen die begrijpen dat je met schreeuwen aan de zijlijn niet verder komt.","amsterdam, nederland","weet niet waar je aannames vandaan haalt, het is een feit. als het grootste deel van je kiezers weg loopt en je weet er wat terug te winnen door corona heb je het niet best gedaan. ben het wel met je eens dat het kaf is gebleven en het koren nu een andere keuze heeft gemaakt.",1382669515457245187,2021-04-15 12:17:55,0,Amsterdam,2021-04-15,"don't know where you get assumptions from, it's a fact. if most of your voters run away and you know how to get some back from corona, you didn't do well. agree that the chaff has remained and the wheat has now made a different choice.",0.085,0.915,0.0,-0.4449,negative
1078,"Voor vrijheid tegen macht. Auteur: De Democratie Voorbij, De Staat Voorbij. Motto: The world don't owe me no living! Stop coronadictatuur. https://t.co/hqGpvXxmSo",amsterdam,"waarom #vaccinatie leidt tot meer #corona zieken en doden, als altijd uitstekende blog post van peter mayer, wel in het duits! o.a. over israël",1382669293414985728,2021-04-15 12:17:02,1,Amsterdam,2021-04-15,"why #vaccination leads to more #corona sick and deaths, as always excellent blog post by peter mayer, but in german! including about Israel",0.088,0.81,0.102,0.0907,positive
1085,Cryptomipto / Ik veranderde van baan als hoe griep veranderde van naam / #allesopen / #ikbeneenwappie / #jijeenschaap /,"rotterdam, nederland","minder hoor dat je die vieze israël ondersteunt, weet gelijk weer waarom ik niet op je stemde al ben ik het met al je corona standpunten eens! ciao",1382668935196205056,2021-04-15 12:15:37,0,Rotterdam,2021-04-15,"less hear that you support that dirty Israel, remember immediately why I did not vote for you even though I agree with all your corona views! ciao",0.095,0.724,0.181,0.3802,positive
1101,De cholesterolmythe,amsterdam,"de video is verwijderd na het door youtube verwijderen van twee video’s dreigde sluiting vh kanaal van dat nam het zekere voor het onzekere en verwijderde meerdere video’s, waaronder het gesprek met mij. bekijk het interview nu via #censuur",1382668620363354115,2021-04-15 12:14:22,14,Amsterdam,2021-04-15,"the video was removed after youtube's removal of two videos threatened to shut down the channel, so err on the side of caution and removed several videos, including the conversation with me. watch the interview now via #censorship",0.075,0.925,0.0,-0.4588,negative
1106,financial markets,amsterdam,"rutte, luister nu eens een keer naar de horeca voorman. die heeft een prachtig veilig plan. stap eens uit je bubbel. jullie zitten in een corona kramp. zet nu eens een stap die richting op!",1382668537081249793,2021-04-15 12:14:02,0,Amsterdam,2021-04-15,"rutte, now listen to the catering foreman. he has a wonderful, safe plan. step out of your bubble. you are in a corona spasm. now take a step in that direction!",0.0,0.79,0.21,0.784,positive
1116,Drimble | Beheers het nieuws,amsterdam,farmaceut msd start grote studie naar pil tegen corona,1382668297351561217,2021-04-15 12:13:05,0,Amsterdam,2021-04-15,pharmaceutical msd starts large study into pill against corona,0.0,1.0,0.0,0.0,neutral
1124,"Leest papieren kranten en veel boeken. Schrijft (online). Mijmert. Rent. Spreekt en traint voor @jeugdenmedia, studeert ethiek. Kan heel goed fileparkeren.",een brabantse in #utrecht,deze mutaties. daarom is de lockdown. kan dat alsjeblieft in talkshows/media geduid worden? het doodenge wanbeleid in brazilië heeft vet heftige gevolgen. ook voor ons.,1382668088517263368,2021-04-15 12:12:15,1,Utrecht,2021-04-15,these mutations. therefore the lockdown. can that please be interpreted in talk shows / media? the scary mismanagement in brazil has fierce consequences. also for us.,0.112,0.807,0.081,-0.2263,negative
1143,❤️Seija,"rotterdam, nederland","#coronadebat is bezig, vaccineren is nu het belangrijkste maar #ploumen heeft het alleen maar over een bonus...daar bestrijdt je corona niet mee ....",1382667491109974017,2021-04-15 12:09:53,0,Rotterdam,2021-04-15,"#coronadebat is in progress, vaccination is the most important now, but #ploumen is only talking about a bonus ... you don't fight corona with that ....",0.0,0.657,0.343,0.8742,positive
1150,"Wie kent mij nou niet...!
Volgers die bij herhaling hun mening opdringen worden onherroepelijk geblokkeerd!
(Overtuigd atheïst)",rotterdam - ijsselmonde,"de ret heeft 2020 afgesloten met een verlies van 11,4 miljoen euro door corona",1382667206278938626,2021-04-15 12:08:45,0,Rotterdam,2021-04-15,the ret closed 2020 with a loss of 11.4 million euros due to corona,0.161,0.839,0.0,-0.3182,negative
1155,Ontwerper https://t.co/fxpuF7aypl en soms publicist https://t.co/n5ytumdqkt Tweets over Nederland / Turkije / Duitsland en van alles.,amsterdam,dit heeft niets met individueel risico te maken. het is een hele grove macro-economische berekening op leeftijd en risicopercentages voor covid en bijwerking.,1382666875994275847,2021-04-15 12:07:26,0,Amsterdam,2021-04-15,this has nothing to do with individual risk. it is a very rough macroeconomic calculation on age and risk percentages for covid and side effect.,0.16,0.84,0.0,-0.4939,negative
1174,"Ik sta weliswaar opgesteld, maar niemand heeft me de spelregels uitgelegd.
Niet anoniem, want Guido Nanninga.
Links noch rechts, en toch niet van het midden.",amsterdam,"of dat helpt bij covid weet ik niet, maar tot dusverre heeft zich deze winter niemand bij de dokter gemeld met griep.",1382666201470488577,2021-04-15 12:04:45,0,Amsterdam,2021-04-15,"I don't know if that helps with covid, but so far no one has reported to the doctor with the flu this winter.",0.241,0.693,0.066,-0.702,negative
1175,"Onze teams van experts werken dag en nacht om mensen in crisissituaties te helpen. Medisch, menselijk en kritisch.",amsterdam,onze teams in #brazilië luiden de noodklok. het falende coronabeleid veroorzaakt een humanitaire ramp in het land. internationaal president is zeer kritisch over de situatie: ‘veel mensen zijn onnodig gestorven.’ #corona #covid19,1382666168050257921,2021-04-15 12:04:37,2,Amsterdam,2021-04-15,"our teams in # brazil are ringing the alarm. the failing corona policy is causing a humanitarian disaster in the country. international president is very critical of the situation: ""many people have died needlessly."" #corona # covid19",0.355,0.645,0.0,-0.9432,negative
1187,🤘🏻 Rock 🎸| 010 |FEYENOORD | Honkbal | med.secr. | fotograaf | 💍 married | Ros dat vaccin er maar in | RETWEET or  REPOST MIJ NIET,rotterdam,"tijdens corona en revalidatietijd maakte ik veel 'dagelijkse collages', deze heb ik in een boek gezet. weer eens een andere albummaker gekozen. foto's zijn prima, maar kwaliteit bladen twijfelachtig... nog te vers van de pers denk ik.",1382665769176158216,2021-04-15 12:03:02,0,Rotterdam,2021-04-15,"during corona and rehabilitation time I made many 'daily collages', I put these in a book. once again chosen another album maker. photos are fine, but quality magazines questionable ... still too fresh off the press I think.",0.073,0.813,0.114,0.1406,positive
1193,Het officiële Twitter-account van de Rotterdamse VVD.,"rotterdam, nederland","hoi! de dalende trend waar jullie het over hebben was in ieder geval niet te zien bij het aantal overvallen. dat steeg onder leefbaar. en corona duurt heel lang, maar in 2019 was er nog geen pandemie en toen zagen we al een flinke daling. dat zijn de feiten.",1382665610681851907,2021-04-15 12:02:24,0,Rotterdam,2021-04-15,"Hi! the downward trend you are talking about was certainly not visible in the number of robberies. that rose below livable. and corona lasts a very long time, but in 2019 there was no pandemic yet and we already saw a significant decrease. those are the facts.",0.057,0.834,0.109,0.1386,positive
1196,Hét multimediaal platform voor alle artsen en studenten geneeskunde. Nieuws | Opinie | Analyse | Vacatures | Video | Nascholing | Webshop | Events,utrecht,"volgens het zorginstituut is de stijging van de zorgkosten stabiel, ondanks de coronacrisis. #zorgkosten #corona",1382665517798948864,2021-04-15 12:02:02,0,Utrecht,2021-04-15,"according to the health care institute, the increase in health care costs is stable, despite the corona crisis. #care costs #corona",0.0,0.53,0.47,0.9216,positive
1209,Skydiving || R | ggplot2 ||  Molecular Life Science || Podcast @signaalwaarde || In elke tweet staat wel een tikfout 🙃 🤷‍♂️,"amsterdam, the netherlands","(50+) wil weten of mensen die covid krijgen, ook last krijgen van de ""trombose + lage bloedplaatjes"". kullberg: we vermoeden dat het de combinatie spike-eiwit+adenovirus is.",1382664853496684544,2021-04-15 11:59:24,1,Amsterdam,2021-04-15,"(50+) wants to know if people who get covid also suffer from the ""thrombosis + low platelets"". kullberg: we suspect it is the combination spike protein + adenovirus.",0.253,0.747,0.0,-0.7783,negative
1226,"Het platform voor business rockstars: lees alles over snelgroeiende startups, scaleups en lessen van leiderschapstalent bij grote organisaties.",amsterdam,post-corona-verdienmodel? arnhemse startup verbindt horeca met adverteerders,1382664535375544322,2021-04-15 11:58:08,0,Amsterdam,2021-04-15,post-corona earnings model? arnhemse startup connects the catering industry with advertisers,0.0,1.0,0.0,0.0,neutral
1243,"""If people can't control their emotions, then they have to start trying to control other people's behaviour""- John Cleese

Deugt niet en wapt niet.",amsterdam,en dan moet je wel rekenen dat enerzijds de bevolking jonger is en anderzijds de medische voorzieningen echt minder zijn en levensverwachting een pak lager. dus mijn schatting is wel wat aan de voorzichtige kant. desondanks lijken er percentueel meer mensen te sterven aan covid.,1382664083862921216,2021-04-15 11:56:20,0,Amsterdam,2021-04-15,"and then you have to reckon that on the one hand the population is younger and on the other hand medical facilities are really less and life expectancy a lot lower. so my estimate is a bit on the cautious side. nevertheless, in percentage terms more people seem to die from covid.",0.127,0.764,0.109,-0.0258,neutral
